Dates Flux Corrflux Xpos Ypos
2228.963714 1575153.237119 1.004744573730619 8.279963 7.560119
2228.984147 1575224.578655 1.0047748644623269 8.256872 7.559981
2229.004579 1574978.071906 1.0046028343855284 8.233625 7.544723
2229.025011 1574807.37456 1.0044791623370648 8.21052 7.52522
2229.045444 1574434.614426 1.004224917581754 8.185703 7.50752
2229.065876 1574043.252399 1.0039583989698744 8.16006 7.480097
2229.086308 1573949.028845 1.003878490648801 8.135123 7.499237
2229.106741 1573808.891843 1.0037717367781898 8.11417 7.52033
2229.127173 1573745.800215 1.0037165815191271 8.09566 7.5284
2229.147605 1573541.598626 1.0035742415890239 8.079628 7.520934
2229.168038 1573333.97155 1.0034285655850947 8.062254 7.51295
2229.18847 1573477.014357 1.0034989049634697 8.036184 7.512268
2229.208902 1573440.979347 1.0034426793190563 7.996273 7.524784
2229.229335 1573304.4667 1.0033219701241698 7.955431 7.532184
2229.290631 1572486.563388 1.0026976153352363 7.825703 7.567997
2229.311064 1572158.853628 1.0024497630070606 7.772781 7.596172
2229.331496 1571629.676957 1.0020715662133337 7.712741 7.626451
2229.351929 1571471.432613 1.0019341421168204 7.652826 7.633728
2229.392793 1572027.191957 1.0022214501948652 7.528824 7.617694
2229.515387 1570693.25581 1.0017916168777 8.124341 7.531902
2229.535819 1570604.858421 1.001718983943816 8.104232 7.543521
2229.556252 1570587.821001 1.001690976411669 8.082475 7.545146
2229.576684 1570596.995269 1.0016827412453353 8.06397 7.536561
2229.597116 1570357.537051 1.00150963657294 8.038875 7.540474
2229.617549 1570423.692023 1.0015158900721408 7.995477 7.55198
2229.637981 1570309.198363 1.0014044808827463 7.947912 7.550976
2229.658413 1570100.809715 1.001233258035982 7.899176 7.546022
2229.678846 1569840.678439 1.001038523010632 7.862387 7.554406
2229.699278 1569480.710057 1.000776294156572 7.821302 7.591314
2229.760575 1568600.918123 1.0005753241250335 8.296096 7.562181
2229.781007 1568608.495057 1.0005652226674044 8.273417 7.566975
2229.801439 1568542.491865 1.000506782786536 8.248815 7.567999
2229.821872 1568479.210863 1.000452806564609 8.227479 7.553606
2229.842304 1568114.925913 1.00020804374945 8.208119 7.537118
2229.862736 1567834.09853 1.000015827966937 8.188495 7.524738
