Dates Flux Corrflux Xpos Ypos
2228.90239 2325790.227347 1.0300343637506737 7.879946 11.094898
2228.922822 2372376.526052 1.0481698712821281 7.907722 11.070951
2228.943255 2413800.445902 1.06357244499633 7.932609 11.04972
2228.963687 2458316.249734 1.0792917293127238 7.960116 11.02592
2228.984119 2493242.923748 1.090451573854325 7.986347 11.014714
2229.004552 2525362.492888 1.0998452635093172 8.012743 11.009688
2229.024984 2551499.212977 1.1059444093779418 8.040752 11.016164
2229.045416 2575362.946812 1.1100439460318317 8.072009 11.036424
2229.065849 2598633.834476 1.1115404446587052 8.111659 11.071169
2229.086281 2621622.994609 1.1128230501110972 8.147739 11.099899
2229.106713 2644054.734152 1.113231624237131 8.18317 11.124803
2229.127146 2672679.987343 1.1118987847248816 8.231022 11.15296
2229.147578 2707600.7458 1.1126163855396167 8.275781 11.164909
2229.16801 2754646.697547 1.1148531754383886 8.326985 11.167545
2229.188443 2802873.140521 1.1142542436020602 8.385002 11.17741
2229.208875 2857450.384652 1.1166700940972325 8.437085 11.171013
2229.229307 2892820.376181 1.1222179910853052 8.458542 11.163894
2229.24974 2929252.577969 1.1271085675975245 8.482581 11.161815
2229.270172 2970689.613861 1.1327263500470812 8.508305 11.153471
2229.311036 3064952.968285 1.1434569843838844 8.567817 11.132344
2229.331469 3119360.51949 1.1492052282474572 8.598711 11.101045
2229.351901 3173221.355059 1.1528483199081838 8.630582 11.059044
2229.372334 3225583.107235 1.153211638582382 8.663186 10.993105
2229.413198 3319032.261116 1.1417552818428771 8.736074 10.89489
2229.43363 3364740.476649 1.1328685567091474 8.772325 10.856166
2229.454063 3399302.05511 1.123876170347291 8.800972 10.828844
2229.51536 2627293.718046 1.1137689411937526 8.152484 11.091645
2229.535792 2670177.630265 1.1169521488303578 8.206206 11.102858
2229.556224 2713722.715948 1.1170693687611049 8.265159 11.113712
2229.576657 2758802.056942 1.1172564242197467 8.320687 11.121201
2229.597089 2806276.238709 1.1173047642954679 8.375537 11.125349
2229.617521 2855172.922103 1.1159598307883212 8.432784 11.128794
2229.637954 2910884.432038 1.117138849345813 8.486636 11.122358
2229.658386 2953398.880525 1.1238599712875943 8.51015 11.109366
2229.678818 2991160.196314 1.1285829837831844 8.53358 11.100231
2229.760547 2391626.469519 1.0567132240993204 7.901578 11.007315
2229.78098 2430235.087864 1.0709887804702807 7.925841 10.991108
2229.801412 2470723.518079 1.085007535790955 7.953855 10.977551
2229.821844 2499453.055793 1.0937554056001926 7.979254 10.976452
2229.842277 2525921.518023 1.1010758558474054 8.004479 10.978793
2229.862709 2547947.056991 1.1061915418802304 8.029352 10.989759
2229.883141 2567732.045635 1.1099401955096844 8.054255 11.003118
2229.903574 2597136.966568 1.1135660333985955 8.096337 11.024056
2229.924006 2628809.764342 1.1146806383919337 8.148067 11.053878
2229.944438 2664032.479613 1.1169697694708522 8.194441 11.070145
2229.96487 2704367.936546 1.1196180283064967 8.241423 11.07385
2229.985303 2738483.021302 1.1185303407272178 8.289055 11.084324
2230.005735 2779484.160968 1.118993773898428 8.336819 11.087245
2230.026167 2822993.942749 1.1186698733755538 8.386985 11.088993
2230.0466 2870806.303578 1.1171531240048809 8.442896 11.094044
2230.067032 2919592.636582 1.1174573297618637 8.491156 11.085005
2230.087464 2958508.451818 1.1198531421816473 8.522086 11.073647
2230.250923 2248329.644843 0.9979128551935094 7.816502 11.059336
2230.271355 2299838.488117 1.0201193296360866 7.845565 11.03737
2230.291787 2348618.135209 1.0400440813739942 7.874255 11.016069
2230.312219 2392726.024243 1.0571139884445893 7.901568 10.997476
2230.332652 2435424.677704 1.072929534010697 7.927799 10.980679
2230.353084 2473198.962919 1.0859497472894382 7.954221 10.970288
2230.373516 2506004.353458 1.0957628342288597 7.984301 10.9738
2230.393948 2538582.217159 1.1038754833134368 8.019958 10.986746
2230.414381 2576700.57758 1.110433012653861 8.06986 11.003256
2230.434813 2621223.700421 1.1157112959371047 8.128788 11.019731
2230.455245 2669438.989122 1.120688495061754 8.18562 11.027644
2230.475678 2711882.833398 1.1235671546707584 8.235053 11.032782
2230.49611 2744015.590205 1.1214322819060294 8.284039 11.050147
2230.516542 2781852.426376 1.1196788466507008 8.335417 11.063181
2230.536975 2828565.936183 1.11946260645232 8.389046 11.0684
2230.598271 2989007.105633 1.1206638553020234 8.546394 11.046293
2230.618704 3029068.004263 1.1256594825681063 8.569315 11.031264
2230.639136 3067793.858145 1.1301969369082254 8.590193 11.006462
2230.659568 3102667.770767 1.1333040811227713 8.609961 10.980629
2230.741297 2108039.106529 0.9312955082947119 7.746861 11.120855
2230.76173 2156684.309028 0.9552240332017073 7.766568 11.091025
2230.782162 2195442.313259 0.9737848765061269 7.786544 11.074278
2230.802594 2230125.262115 0.9897722095450324 7.806103 11.061141
2230.823026 2273852.079124 1.009080934819197 7.829608 11.043044
2230.843459 2317399.792261 1.0274825889974508 7.853964 11.024657
2230.863891 2354519.987253 1.0425111840039163 7.875649 11.008951
2230.884323 2398446.248271 1.0594331573566862 7.903107 10.991071
2230.904756 2439752.961868 1.0745225219532681 7.929949 10.975919
2230.925188 2481522.596606 1.088492609480847 7.961739 10.968765
2230.94562 2514528.633344 1.098011786838088 7.993305 10.975945
2230.966052 2541258.824439 1.1038046556672985 8.026398 10.986541
2230.986485 2570974.413655 1.108528209709224 8.066946 10.999265
2231.006917 2602029.586309 1.1127190996451757 8.107161 11.008979
2231.027349 2635791.701983 1.1167156635959548 8.147972 11.014697
2231.047781 2671360.109625 1.1198880137027392 8.190309 11.01857
2231.068214 2720990.36079 1.1232135128494127 8.246906 11.020203
2231.088646 2759505.856189 1.1213116219487314 8.301331 11.029561
2231.109078 2799506.705312 1.1184307779615181 8.357565 11.045689
2231.12951 2841012.308152 1.1159767493741128 8.411325 11.059198
2231.149943 2886479.468934 1.114025223534673 8.464614 11.062061
2231.170375 2938222.387721 1.1130591948083397 8.51791 11.052465
2231.190807 2978826.170009 1.1149439912149854 8.550426 11.038691
2231.21124 3002154.080852 1.1181572043686392 8.563036 11.028917
2231.231672 3020099.230073 1.1201861900614611 8.573524 11.020943
2231.252104 3049480.027654 1.1238598175157262 8.588634 10.999802
2231.272536 3083432.523579 1.1270791364302908 8.607466 10.973032
2231.292968 3116594.938995 1.129645173341518 8.625933 10.94386
2231.313401 3149583.607093 1.1312889215205886 8.644544 10.907302
2231.333833 3178299.256953 1.1315970791639927 8.661735 10.871469
2231.354265 3200576.863345 1.130644319007808 8.677135 10.848471
2231.374698 3224978.869688 1.129673349778636 8.69381 10.831927
2231.39513 3249455.190186 1.1280391972392616 8.711106 10.817706
2231.476859 2790633.655819 1.1192281437755462 8.343839 11.030363
2231.497291 2831859.138521 1.1166925998005073 8.398192 11.045148
2231.517723 2873679.215624 1.1141212121792947 8.450446 11.054334
2231.538156 2920590.643445 1.1125791735427324 8.501761 11.051018
2231.558588 2967607.225576 1.1114298727849379 8.548799 11.039538
2231.57902 2995705.531262 1.1156848183986594 8.563039 11.027044
2231.599452 3025500.629537 1.119605649640109 8.578851 11.011652
2231.619885 3052369.25778 1.1229939266300528 8.592328 10.990894
2231.640317 3077035.087336 1.1252656407910062 8.606175 10.971912
2231.722046 2543195.177822 1.101758437730923 8.041548 10.992748
2231.742478 2584803.608549 1.108364614401979 8.09435 11.006115
2231.76291 2627593.345736 1.1135902083214235 8.146595 11.013803
2231.783343 2661306.168537 1.1170810584847468 8.185247 11.016131
2231.803775 2689424.296519 1.1195431642891227 8.216536 11.017112
2231.824207 2718215.441704 1.1211688721260815 8.249474 11.017526
2231.844639 2743791.310579 1.1223726916477448 8.277776 11.015202
2231.865072 2767635.808093 1.1208401520557931 8.3115 11.019685
2231.885504 2792228.601645 1.1199568523357397 8.343024 11.024147
2231.905936 2814914.534702 1.117998527441611 8.375041 11.034876
2231.926368 2837102.990719 1.1162524099676239 8.404995 11.044145
2231.9468 2868184.450901 1.1144655411252853 8.443496 11.051009
2231.967233 2915031.426602 1.1125669456573617 8.496311 11.051301
2231.987665 2971627.295463 1.1117993804093549 8.551367 11.036744
2232.008097 2998654.469574 1.1158579170900313 8.5651 11.024936
2232.02853 3019865.367794 1.1184810460404844 8.576893 11.015362
2232.048962 3046540.968278 1.1220018348735596 8.590101 10.995991
2232.089826 3099062.705814 1.1279175537762651 8.616481 10.952229
2232.110258 3123606.278471 1.1292481707814392 8.631073 10.930321
2232.21242 2608413.604574 1.1119141060372821 8.121823 11.014465
2232.253284 2675213.990392 1.1192666657944677 8.197998 11.019733
2232.273716 2723070.28819 1.123163368697225 8.249661 11.019322
2232.294149 2769713.371835 1.1236363248121333 8.305747 11.019251
2232.314581 2809133.103465 1.1214123111220073 8.358695 11.031261
2232.335013 2846535.631625 1.119465972328747 8.406353 11.044102
2232.355445 2887828.829756 1.1174489906629594 8.455973 11.051867
2232.375878 2937867.380977 1.1150893865281903 8.512197 11.050633
2232.39631 2986567.388447 1.1151443526107228 8.556975 11.037622
2232.416742 3020654.427455 1.1202815213743744 8.573958 11.022814
2232.437174 3053047.489953 1.1246517760682122 8.589982 11.001221
2232.457606 3090041.689121 1.1293406397779227 8.607665 10.971382
2232.478039 3118784.368124 1.1319345851156712 8.623051 10.948097
2232.498471 3147175.886257 1.1336918603536492 8.639069 10.922815
2232.539335 3211557.598472 1.1353860011799473 8.675505 10.848904
2232.559768 3240655.925738 1.1344292174686639 8.69467 10.826353
2232.5802 3270028.502769 1.1329148890387848 8.714344 10.809082
2232.600632 3300432.378513 1.1304248104536 8.735288 10.793725
2232.621064 3336999.709053 1.1261810406477752 8.761157 10.778903
2232.723225 2491769.231991 1.0931462016190245 7.960893 10.971284
2232.743658 2517492.800038 1.0998017754662437 7.991348 10.986569
2232.76409 2546124.392924 1.1060097525609445 8.027037 10.998866
2232.784522 2573572.552928 1.1109998051377417 8.061685 11.009632
2232.804954 2597818.041115 1.1147556753706471 8.092023 11.018269
2232.825386 2625460.498125 1.1186516528908357 8.124682 11.023194
2232.845819 2656917.341421 1.1229196954668133 8.158894 11.024753
2232.866251 2684320.636824 1.1255425811920872 8.190432 11.028259
2232.886683 2710008.687432 1.127572339755755 8.219617 11.031846
2232.907115 2740651.680793 1.1305584298017486 8.250162 11.029784
2232.927548 2775399.22483 1.1323899499014582 8.287547 11.027631
2232.94798 2800665.668236 1.129446713401254 8.327217 11.041897
2232.968412 2826160.677711 1.1269574236402276 8.364578 11.057643
2232.988844 2856653.192097 1.1253094138514157 8.403346 11.067126
2233.009276 2886599.036878 1.1245070512749915 8.437543 11.070584
2233.029709 2909038.143242 1.1239855341501779 8.462174 11.071674
2233.050141 2938049.650776 1.1231420634783578 8.493436 11.070701
2233.070573 2974092.89834 1.1226695606027897 8.528944 11.063551
2233.091005 3006705.145049 1.1233210484234786 8.556844 11.053958
2233.193166 2441776.337092 1.0770166996331625 7.917233 10.986038
2233.213599 2473135.116663 1.088371627706953 7.936613 10.975188
2233.234031 2497427.109723 1.0964730498614954 7.955191 10.972175
2233.254463 2513638.010415 1.101017621938464 7.973011 10.980763
2233.274895 2538342.871992 1.1068451608539691 8.004079 10.996327
2233.295327 2576156.860008 1.1142788889501525 8.051827 11.01276
2233.31576 2617337.072786 1.1202364552797208 8.104823 11.026919
2233.336192 2660945.781583 1.1258378918709717 8.155093 11.031423
2233.356624 2699860.729487 1.1294817999570408 8.199809 11.036209
2233.377056 2743505.554597 1.132980318789877 8.247067 11.038222
2233.397488 2786801.387489 1.1337960324359222 8.298419 11.042418
2233.417921 2818171.742727 1.129072579335042 8.350449 11.066079
2233.438353 2854518.27948 1.12789165439772 8.394671 11.074765
2233.458785 2897363.660654 1.1271143747903587 8.442355 11.077037
2233.479217 2946745.842097 1.125835941467178 8.495447 11.074964
2233.499649 2999040.631544 1.1244419298573876 8.547978 11.064274
2233.520082 3030632.987443 1.1280582810622415 8.566904 11.052917
2233.560946 3105801.39191 1.1386207307793859 8.602336 11.000201
2233.60181 3186426.226489 1.1452061652713634 8.645456 10.933074
2233.683539 2704762.734536 1.1296885922957671 8.206251 11.039761
2233.703971 2755919.87342 1.1335973879754857 8.26112 11.04053
2233.724404 2797031.982473 1.1323693909715407 8.315489 11.051837
2233.765268 2857526.29387 1.1275727280213421 8.399045 11.077547
2233.7857 2889097.154076 1.1263422289127392 8.436141 11.080603
2233.806132 2919794.419289 1.1254262301500875 8.470141 11.080901
2233.826565 2956694.499671 1.124565334217163 8.508655 11.077278
2233.846997 3003785.13381 1.123754490067426 8.554209 11.066136
2233.867429 3030240.118354 1.1280258011595252 8.566788 11.054665
2233.887861 3055107.968223 1.1318064554656093 8.57848 11.040059
2233.928726 3115194.100078 1.1393576789396145 8.607914 10.994574
2233.949158 3148153.457231 1.1426565505295578 8.624625 10.967029
