Dates Flux Corrflux Xpos Ypos
2228.861662 205141.455547 1.0050386491270829 4.423762 4.219911
2228.882095 205074.103888 1.0047501759777795 4.441916 4.210273
2228.902527 204821.280808 1.0035532007979153 4.460592 4.202031
2228.92296 204905.805143 1.0040127543218191 4.479979 4.19307
2228.943392 204893.831876 1.0040108236977863 4.500095 4.178864
2228.963824 204909.552786 1.0041492687425593 4.521494 4.163843
2228.984257 205041.849845 1.0048572534839408 4.541908 4.149194
2229.004689 205086.631868 1.0051360227197204 4.563367 4.135649
2229.025121 204926.874485 1.0044184798006697 4.58543 4.118495
2229.045554 204916.473991 1.0044317450410587 4.609725 4.102903
2229.065986 204873.948081 1.0042892539792119 4.634273 4.084269
2229.086418 204590.432737 1.0029633054307259 4.660566 4.065021
2229.106851 204810.29926 1.0040909085747658 4.682921 4.047764
2229.147716 204735.950409 1.0037971009460336 4.721107 4.01679
2229.18858 204566.770884 1.0030157273311235 4.762422 3.983495
2229.209013 204630.814643 1.0033399288887181 4.780021 3.969159
2229.229445 204639.212219 1.0033843361534485 4.796524 3.953085
2229.249877 204499.217466 1.0026921895248124 4.814402 3.934275
2229.27031 204580.655744 1.003077681261268 4.830781 3.918475
2229.290742 204500.075168 1.0026558337744569 4.850279 3.901066
2229.311175 204533.717052 1.0027832826208725 4.868355 3.883837
2229.352039 204660.642139 1.003266764023974 4.916273 3.849451
2229.372472 204527.82818 1.0025166566943264 4.946971 3.839462
2229.392904 204576.762772 1.0026215792387032 4.981664 3.830093
2229.413336 204611.43246 1.0026192725043517 5.016386 3.820075
2229.515498 204704.006849 1.0035473405174002 4.68625 4.069022
2229.535931 204761.959781 1.0038750194786294 4.706276 4.052058
2229.556363 204903.401897 1.0046107404213118 4.728512 4.032097
2229.576795 204725.333157 1.0037668000578277 4.747304 4.014616
2229.597228 204618.264985 1.0032621972477136 4.764543 3.998215
2229.61766 204558.95347 1.0029851836679184 4.781467 3.980082
2229.638092 204691.219989 1.0036392336488449 4.798692 3.96331
2229.658525 204574.807112 1.0030651207089478 4.816822 3.945149
2229.678957 204524.361418 1.0028060042582543 4.832204 3.927879
2229.760686 204959.810902 1.0043721072611955 4.551454 4.206086
2229.781119 204846.848701 1.0038729310226613 4.568727 4.191367
2229.801551 204833.862976 1.0038681963314793 4.587982 4.176002
2229.821983 204911.39372 1.0043017558154683 4.605096 4.161383
2229.842416 204873.492225 1.0041650921594893 4.620909 4.147607
2229.862848 204782.547091 1.0037683097326047 4.637895 4.134227
2229.883281 204883.495322 1.0043090914183883 4.653986 4.120767
2229.903713 204814.499722 1.0040214303197044 4.671109 4.103697
2229.924145 204786.152884 1.0039360665367023 4.691471 4.084767
2229.944578 204805.000619 1.0040700318991134 4.709351 4.068849
2229.96501 204661.496519 1.0034022389742623 4.725839 4.05253
2229.985442 204719.681423 1.0037180615679233 4.742669 4.036636
2230.005875 204669.231822 1.0034939368251585 4.757734 4.021514
2230.026307 204545.773822 1.0029062990945574 4.77127 4.005569
2230.046739 204772.833617 1.0040331551308914 4.788387 3.98916
2230.067172 204647.310169 1.0034233667866084 4.802818 3.97506
2230.087604 204607.663142 1.0032290767894005 4.815381 3.961136
2230.108036 204548.794283 1.0029352045928421 4.828478 3.947552
2230.128469 204544.459002 1.0029036012507357 4.840396 3.933894
2230.148901 204649.656784 1.00340066632814 4.85505 3.919146
2230.169333 204853.341213 1.0043611413993183 4.880755 3.904604
2230.251063 204848.74967 1.0036331862419434 4.504163 4.278245
2230.271495 204845.39633 1.0036835068413694 4.524862 4.256215
2230.291927 204692.21934 1.0030060570675299 4.54775 4.234432
2230.31236 204783.133885 1.003515079717799 4.566743 4.215697
2230.332792 204744.891009 1.0033885175436357 4.585697 4.198893
2230.353224 204680.707218 1.0031330922021564 4.604155 4.18257
2230.373657 204675.862401 1.0031713557602544 4.623421 4.16489
2230.394089 204688.711504 1.0032990414697653 4.643446 4.145277
2230.414521 204638.755295 1.0031192285432573 4.665718 4.125669
2230.434954 204765.005347 1.0037955007270485 4.685484 4.105889
2230.455386 204754.923366 1.003799962764115 4.706977 4.086544
2230.475818 204667.421057 1.003412660923993 4.723957 4.068006
2230.496251 204726.715768 1.0037388830355682 4.741282 4.050333
2230.516683 204632.449202 1.0033027205849334 4.755513 4.034023
2230.537115 204613.43309 1.0032316755415842 4.772193 4.017876
2230.557548 204653.876019 1.0034463731746186 4.788028 3.99922
2230.57798 204657.83549 1.003474363023478 4.804104 3.981362
2230.598412 204545.855894 1.0029248388066514 4.823885 3.960255
2230.618845 204772.797916 1.0040252735986224 4.84231 3.93991
2230.639277 204741.620371 1.0038437042122286 4.868982 3.923016
2230.659709 204747.065378 1.003826688878352 4.895799 3.908124
2230.680142 204742.889442 1.0037430896126402 4.924329 3.893909
2230.741439 204951.030681 1.0039855324696259 4.45959 4.343007
2230.761871 205032.572838 1.004420475252863 4.474297 4.328666
2230.782303 205005.39751 1.0043288545381202 4.489411 4.312577
2230.802736 204941.352611 1.004062971849638 4.504882 4.294595
2230.823168 205046.068381 1.0046302342665914 4.522372 4.276414
2230.8436 204941.188838 1.0041769129493587 4.541178 4.257291
2230.864033 204919.283902 1.004127603750395 4.559284 4.240268
