# Author: CJBurke Date: 01/14/2016
# Format: %9d %11.7f %10.7f %5.2f %5.2f %02d %1d %1d %1d %6.3f
# Header Lines: 38
#################################
# Description:
# This file contains the KEES project targets observed or scheduled
#   to be observed by K2.  These are stars selected to be likely dwarf stars
#   that lie within the current ecliptic band (+/-0.26 deg of the ecliptic)
#   such that they can observe Earth transiting the Sun.  There is also
#   an expanded set of targets with a wider ecliptic band (+/- 1.0 deg)
#   that sometime within the last 100,000 years were likely able to 
#   observe the Earth transit the Sun, but currently cannot.  The targets
#   are sorted in priority order in the following order
#    1) Confirmed planets in current ecliptic band
#    2) Confirmed planets in extended ecliptic band
#    3) Candidate planets in current ecliptic band
#    4) Candidate planets in extended ecliptic band
#    5) Observed targets in current ecliptic band
#    6) Observed targets in extended ecliptic band
#   Within each numbered priority the targets are sorted by a priority
#   metric that measures the expected SNR of a transit.  This gives priority
#   to brighter stars that are late type dwarfs.  This priority metric is also
#   expected to crudely correlate with distance to target.
##########################################
# Column Description
# 1- EPIC catalog number
# 2- Right Ascencsion (2000.0) [deg] 
# 3- Declination (2000.0) [deg]
# 4- Kepler magnitude [mag]
# 5- (V-J) color
# 6- K2 observing campaign [0-8]
# 7- Current ecliptic band [1/0] - flag indicating whether ecliptic
#        latitude, abs(b)<0.26 deg
# 8- Planet candidate
# 9- Confirmed Planet
# 10- Priority lower numbers have a higher expected transit SNR
#     The highest priority targets are generally the brightest
#     and later spectral type targets
206103150 101.5966700 27.9833300 11.76  1.37 03 1 1 1 -0.657
206135267  94.5983800 24.4925300  9.22  2.17 03 1 1 0 -3.900
206144956  94.6567700 24.6403600 10.40  1.83 03 1 1 0 -3.189
204888276  95.0553000 23.8626400 12.54  3.26 02 1 1 0 -1.918
206159027  95.0580400 26.4119300 12.60  1.84 03 1 1 0 -0.802
201779067  91.2736100 23.3940300 11.12  1.38 01 1 1 0 -0.248
206125618  94.6857870 24.6329120 13.89  1.42 03 1 1 0 -0.102
206135682  94.6189600 24.7627500 13.21  1.92 03 1 1 0  0.383
206268299 100.5228000 22.2222400 12.43  1.16 03 1 1 0  0.542
204576757 103.2661800 16.9258800 13.67  2.19 02 1 1 0  0.591
206155547  94.8924800 25.8427400 14.62  1.10 03 1 1 0  2.171
206151047 103.0787500 16.8343500 13.43  1.13 03 1 1 0  2.222
216598020  95.1337700 26.2712500 10.24  2.61 07 1 0 0 -4.086
201597919  98.7516600 15.1459900 12.62  3.88 01 1 0 0 -3.643
206245055  99.0912500 19.4094900  8.90  1.14 03 1 0 0 -3.601
206107346  91.9840900 20.8494400  9.88  2.89 03 1 0 0 -3.522
206249569  99.4295000 22.2923100 12.60  3.80 03 1 0 0 -3.330
211845940  96.4070500 17.5316900 11.87  3.26 05 1 0 0 -3.233
206095148 101.0760900 26.6657000  9.07  1.43 03 1 0 0 -3.184
211964776  95.7315400 18.7110300 11.16  1.08 05 1 0 0 -3.088
206095444 102.2894700 17.1939600  9.70  1.50 03 1 0 0 -3.077
220455442  98.8343100 15.5491900 11.05  2.38 08 1 0 0 -3.066
206220989  97.9521100 23.4868800 10.73  2.27 03 1 0 0 -3.045
201698809 103.0146200 17.2279300  8.76  1.38 01 1 0 0 -3.044
204506926  93.2675600 17.9781800  8.68  1.30 02 1 0 0 -3.023
201729267  98.1331400 16.6810300  8.02  0.98 01 1 0 0 -2.908
211826254  96.1342700 16.1468400  9.22  1.51 05 1 0 0 -2.899
212548526  93.0687000 25.8035100 10.29  2.10 06 1 0 0 -2.863
201576812 101.2078500 24.3026900 10.07  1.22 01 1 0 0 -2.846
204550630 100.8162500 26.0126900  8.78  0.99 02 1 0 0 -2.801
206139567  94.6987500 24.7374400  9.36  1.72 03 1 0 0 -2.753
206104238 102.8056600 16.6739000  8.49  1.26 03 1 0 0 -2.739
